worldbankcode,Log GDP per capita (2000),Executive constraints (1960-2000),Expropriation risk (1982-1997),Autocracy -- Alvarez (1960-1990),Government effectiveness (1998-2000),Judicial independence (1995),Constitutional review (1995) ,Plurality (1975-2000),Proportional representation (1975-2000)
AFG,,2.08333,,,-1.3,,,,
AGO,,3,5.771429,1.33333,-1.42,,,0,1
ALB,8.116794,1.97561,7.264286,,-0.5533333,,,1,1
ARE,,3,6.94375,,0.5033333,,,,
ARG,9.305175,3.70732,6.3125,0.967742,0.3466667,1,0.67,0,1
ARM,7.934333,4.4,,,-0.56,,,1,1
ATG,9.721931,,,,,,,,
AUS,10.1478,7,9.378572,0,1.746667,1,0.83,1,1
AUT,10.07244,7,9.742857,0,1.616667,0.67,0.67,0,1
AZE,7.93497,2.4,,,-0.8466666,,,1,1
BDI,6.260463,1.47059,,1.68966,-1.02,,,0.5,1
BEL,10.07678,7,9.685715,0,1.373333,0.67,0.58,0,1
BEN,7.101852,2.31579,,1.48387,-0.1233333,,,0,1
BFA,6.864606,1.95,4.853846,1.6129,-0.31,,,0,1
BGD,7.429269,3.17241,5.4125,1.2,-0.4566666,1,0.67,1,0
BGR,8.662952,4.07317,9.035714,0.9,-0.5133333,,,0,0.9
BHR,,1.4,8.2,,0.49,,,1,
BHS,,,7.792857,0,0.8033333,,,1,0
BIH,,,,,-0.6950001,,,,1
BLR,9.036887,4.1,,,-0.96,,,1,0
BLZ,8.794421,,,0,-0.4366667,,,1,0
BMU,,,,,,,,,
BOL,7.908997,4.17073,5.6,1.22581,-0.31,,,1,1
BRA,8.879754,3.3,7.88125,0.548387,-0.18,0.67,0.67,1,1
BRB,9.705852,,,0,,,,1,0
BRN,,,9.271429,,0.73,,,,
BTN,,2,,,0.4733333,,,1,
BWA,,6.85714,8.007143,1,0.6066667,,,1,0
CAF,,1.78049,,1.7,-0.9066667,,,1,0
CAN,10.20071,7,9.721429,0,1.893333,1,0.58,1,0
CHE,10.18194,7,9.985714,0,2.22,0.67,0.17,1,1
CHL,9.202308,3.95122,7.8,1.09677,1.233333,0.67,0.58,1,0
CHN,8.228706,2.53659,8.114285,1,0.1766667,0,0.17,,
CIV,7.533215,1.45,7.0625,1,-0.38,,,1,0
CMR,7.621698,2.31707,6.4625,1.06667,-0.6666667,,,1,0
COG,7.49965,2.825,5.146154,1,-1.226667,,,0,0
COL,8.590468,6.09756,7.35,0,-0.0666667,0.33,0.67,0,1
COM,7.363175,3.08,,1.1875,-0.9433333,,,0.857143,0
CPV,8.30066,,,1,0.1266667,,,0.375,1
CRI,8.676479,7,7.0375,0,0.42,,,0,1
CUB,,1,7.3,,-0.3566667,0,0.17,0,1
CYP,,6.83333,8.485714,,1.156667,,,0,1
CZE,9.523188,7,9.88,,0.6766667,,,1,1
DEU,10.03719,7,9.886666,0,1.753333,1,0.83,1,1
DJI,,2.08333,,1,-1.02,,,0.666667,0
DMA,8.906309,,,,-0.8166667,,,,
DNK,10.18969,7,9.721429,0,1.883333,1,0.83,0,1
DOM,8.569944,4.43243,6.35625,0.322581,-0.3933333,,,1,1
DZA,8.4957,1.53846,6.7625,1.41379,-0.8,0,0.75,1,1
ECU,8.151106,4.68293,6.7625,0.967742,-0.82,1,0.83,0,1
EGY,8.339097,3,6.8,1,-6.83E-09,0.67,0.83,1,0
ERI,,3,,,-0.02,,,,
ESP,9.801159,4.63158,9.55,1.09677,1.706667,0.67,0.58,1,1
EST,9.168319,7,,,0.63,,,0,1
ETH,6.453723,2.02778,6.046667,1.48148,-0.44,0.67,0.58,1,0
FIN,10.07738,7,9.721429,0,1.823333,1,0.17,0,1
FJI,,6.26667,,1.19048,-0.1133333,,,1,0
FRA,10.01554,4.92683,9.707143,0,1.5,0.33,0.58,1,0.576923
FSM,,,,,-0.44,,,,
GAB,9.035431,1.45,7.55625,1,-0.7333333,,,1,0
GBR,10.00732,7,9.764286,0,2.063333,1,0,1,0
GEO,8.497763,5,,,-0.47,,,1,1
GHA,7.207392,2.05405,6.21875,1.58065,-0.0666667,1,0.67,1,0
GIN,7.948347,1.39024,6.671429,1.22581,-0.4433334,,,1,1
GMB,7.103729,4.33333,8.384615,1,-0.0066667,,,1,0
GNB,6.5314,3.04,4.623077,1,-0.8866667,,,1,
GNQ,8.191689,1.30303,,,-1.63,,,0,0.875
GRC,9.590461,5.4,7.48125,0.354839,0.71,0.67,0.67,1,1
GRD,8.730157,,,0,-0.24,,,1,0
GTM,8.272229,3.075,5.15625,0.322581,-0.39,,,1,1
GUY,,4.02857,5.95625,1,-0.18,,,0,1
HKG,10.19254,,8.4875,,1.446667,,,,
HND,7.627597,4.05128,5.4125,0.967742,-0.5433334,0.33,0.58,1,1
HRV,9.050615,3.33333,,,0.0766667,,,1,1
HTI,,1.92105,4.175,1.13793,-1.283333,0.33,0.75,1,0
HUN,9.253754,4.1,9.078571,0.95,0.6866667,,,1,1
IDN,8.198997,2.39024,7.475,1.33333,-0.33,1,0.17,0,1
IND,7.816119,6.95122,8.06875,0,-0.1133333,1,0.83,1,1
IRL,10.18032,7,9.721429,0,1.746667,1,0.83,0,1
IRN,8.69796,3.21053,4.69375,1.58333,-0.2633333,0.33,0,0.952381,
IRQ,,1,2.4,1.71429,-1.623333,0,0,1,0
ISL,10.11836,7,9.7,0,1.756667,1,1,0,1
ISR,9.737409,7,8.5125,0,1.003333,1,0,0,1
ITA,9.989398,7,9.457143,0,0.85,0.67,0.67,0.269231,1
JAM,8.213889,7,7.04375,0,-0.4066667,,,1,0
JOR,8.266721,2.04878,6.55625,1.48387,0.3833333,1,0.58,1,0
JPN,10.11341,7,9.721429,0,1.11,0.67,1,1,1
KAZ,8.908367,2.4,,,-0.6666666,,,1,0
KEN,7.126439,3.23684,6.40625,1,-0.6966667,1,0.5,1,0
KGZ,8.010864,4,,,-0.4766667,,,1,1
KHM,,1.70833,,,-0.6666666,,,0.681818,1
KIR,,,,,-0.28,,,,
KNA,9.523067,,,,-0.05,,,,
KOR,9.6729,3.525,8.56875,0.903226,0.5266666,0.67,0.83,1,1
KWT,,2.2973,7.05625,,0.1366667,0.67,0.58,1,0
LAO,,3,,2,-0.38,,,1,
LBN,8.662133,3.33333,5.4125,,-0.04,0.67,0.58,1,0
LBR,,2.29412,3.775,1.19231,-1.703333,1,0.83,0.666667,1
LBY,,1.43902,5.0875,,-1.183333,,0,,
LCA,8.752811,,,,0.1166667,,,1,0
LKA,8.101617,5.87805,6.5375,0.451613,-0.3766667,,,0.166667,0.833333
LSO,7.374013,3.09375,,1.84,0.01,,,1,0
LTU,8.8876,7,,,0.2,,,1,1
LUX,10.69214,7,10,0,2.046667,,,0,1
LVA,8.942173,7,,,0.17,,,0,1
MAC,10.07917,,,,,,,,
MAR,8.221423,1.97561,6.7125,1.41935,0.09,,,1,0
MDA,7.641113,6.6,,,-0.6866667,,,0,1
MDG,6.728557,3.725,4.685714,1.16667,-0.5,,,1,1
MDV,,,,,0.4566667,,,1,0
MEX,9.078647,3.46341,7.46875,1,0.1433333,0.33,0.83,0.884615,1
MHL,,,,,-0.555,,,,
MKD,8.543801,5,,,-0.37,,,1,0
MLI,6.876892,2.3,4,1.46667,-0.6266667,,,1,0
MLT,,,7.875,0,0.9266667,,,0,1
MMR,,2.26829,6.06875,1.4,-1.286667,,,,
MNG,,3.97561,7.95,1,-0.0466667,,,1,0
MOZ,6.944006,2.84615,6.814286,1,-0.3466667,0.67,0.67,0.6,1
MRT,,3.09756,,1.43333,-0.2,,,1,0
MUS,9.541634,7,,0,0.5733333,,,1,0
MWI,6.663676,1.75676,6.8625,1,-0.64,,,1,0
MYS,9.203981,5.19512,8.15,1.06452,0.7533333,1,0.42,1,0
NAM,,5,5.4,,0.3833333,,,0,1
NER,6.774391,2.7,5.546154,1.55172,-0.9066666,,,1,1
NGA,6.569139,2.89744,5.3,1.35484,-1.176667,1,1,0,1
NIC,7.476923,2.82051,5.29375,0.967742,-0.5933334,0.33,0.42,0,1
NLD,10.09877,7,9.978571,0,2.17,0.67,0.5,0,1
NOR,10.20522,7,9.85,0,1.806667,1,0.83,0,1
NPL,7.286278,3.2439,,1.07692,-0.66,1,0.83,1,0
NZL,9.842913,7,9.735714,0,1.773333,1,0,1,0.307692
OMN,,1.2439,7.321429,,0.9366667,,,,
PAK,7.604201,3.91892,6.15,1.06452,-0.52,1,0.75,1,0
PAN,8.710471,3.56098,6.0625,1.06452,-0.1966667,0.33,0.67,1,1
PER,8.430115,3.78947,6.20625,0.870968,-0.0866667,1,0.67,0,1
PHL,8.138461,4.05,5.7875,0.870968,0.1366667,1,0.67,1,0
PNG,,7,7.742857,0,-0.5833333,,,0.961538,0.038462
POL,9.130054,3.87805,7.814286,0.9,0.5733333,,,0.576923,1
PRI,,,,,1.486667,,,,
PRK,,1.14634,5.023077,,-0.7933334,,0.17,,
PRT,9.677536,4.69231,9.00625,0.516129,1.146667,0.67,0.67,0,1
PRY,8.451529,2.43902,6.9,1,-0.99,,,0,1
QAT,,1,7.857143,,0.7333333,,,,
ROM,8.363276,3.375,7.557143,1,-0.58,,,0.615385,1
RUS,8.988787,3.5,8.5,,-0.56,,,1,1
RWA,6.79743,1.18421,,1.27586,-0.6833333,,,1,0
SAU,,1,7.44375,,-0.1266667,1,0,,
SDN,,2.89189,4.01875,1,-1.476667,,,1,0
SEN,7.391112,3.075,5.925,1,0.0033333,,,1,1
SGP,,3,9.39375,1,2.37,1,0.67,1,0
SLB,,,,0,-0.8366666,,,1,0
SLE,,3.19444,5.707692,0.862069,-0.7733334,,,0.818182,0.444444
SLV,8.397262,4.30556,5.20625,0.806452,-0.1766667,,,0.869565,1
SOM,,2.74194,3,1.06897,-2.193333,,,,
STP,7.115784,,,,-0.79,,,,
SUR,,,5.169231,1,-0.1166667,,,0.277778,1
SVK,9.342898,6.375,9,,0.1766667,,,0,1
SVN,9.664972,7,,,0.6333333,,,0,1
SWE,10.07162,7,9.5,0,1.773333,1,0.42,0,1
SWZ,8.561122,1.21212,,1.22727,-0.41,,,,
SYC,9.2333,,,1,-0.8066667,,,,
SYR,8.317207,1.25,5.4125,1.3,-0.8733333,0.67,0.58,1,0
TCD,6.812788,1.27273,,1.53333,-0.41,,,1,
TGO,6.769176,1.5641,6.5,1.4,-0.88,,,1,0
THA,8.83302,3.36842,7.64375,1.16129,0.21,0.67,0.75,1,0
TJK,7.186404,3.3,,,-1.336667,,,1,0
TKM,,1.1,,,-1.353333,,,1,0
TON,,,,,-0.4433334,,,,
TTO,9.318995,7,7.29375,0,0.3966667,,,1,0
TUN,8.821356,1.70732,6.50625,1,0.8533334,,,1,0.315789
TUR,8.83021,6.05,7.2875,0.225806,-0.1533333,1,0.42,0,1
TWN,,3.17073,9.2375,1,1.293333,1,0.67,1,0.5
TZA,6.177619,3,6.8875,1,-0.5866666,,,1,0
UGA,6.846271,2.75,4.8,1.34483,-0.18,1,0.67,1,0
UKR,8.438931,4.5,,,-0.79,,,1,0.428571
URY,9.170865,5.07692,6.9375,0.774194,0.6233333,,,0,1
USA,10.41356,7,9.978571,0,1.733333,1,0.83,1,0
UZB,,1,,,-1.003333,,,1,
VCT,8.874312,,,,-0.1066667,,,,
VEN,8.767189,5.7561,7.10625,0,-0.8033333,0.33,0.67,0,1
VNM,,2.78571,6.95,,-0.2266667,0,0.17,1,
VUT,,,,0,-0.3866667,,,1,0
WBG,,,,,0.25,,,,
WSM,,,,1,,,,1,0
YEM,6.706502,2.2,8.485714,,-0.55,,,1,0
YUG,,2.22222,6.266667,,-0.8633333,,,0.692308,0.8
ZAF,8.928123,7,7.35,1,0.2466667,1,0.67,0,1
ZAR,,1,3.71875,1.26667,-1.826667,,,1,0
ZMB,6.793296,2.40541,6.66875,1,-0.6633334,1,0.42,1,0
ZWE,7.817794,3.47619,6.025,1,-0.8433334,1,0.58,1,0
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,